rank,language,langage_code,primary_country,total_countries,speakers_millions,serialid
1,'Chinese ',' zho ','China',31,1213,1
,'Chinese Gan ',' gan ','China',1,20.6,2
,'Chinese Hakka ',' hak ','China',17,30,3
,'Chinese Huizhou ',' czh ','China',1,4.6,4
,'Chinese Jinyu ',' cjy ','China',1,45,5
,'Chinese Mandarin ',' cmn ','China',20,845,6
,'Chinese Min Bei ',' mnp ','China',2,10.3,7
,'Chinese Min Dong ',' cdo ','China',7,9.1,8
,'Chinese Min Nan ',' nan ','China',10,47.3,9
,'Chinese Min Zhong ',' czo ','China',1,3.1,10
,'Chinese Wu ',' wuu ','China',2,77.2,11
,'Chinese Xiang ',' hsn ','China',2,36,12
,'Chinese Yue ',' yue ','China',20,55.5,13
2,'Spanish ',' spa ','Spain',44,329,14
3,'English ',' eng ','United Kingdom',112,328,15
4,'Arabic ',' ara ','Saudi Arabia',57,221,16
,'Arabic Algerian Spoken ',' arq ','Algeria',6,22.4,17
,'Arabic Egyptian Spoken ',' arz ','Egypt',10,54,18
,'Arabic Gulf Spoken ',' afb ','Iraq',10,3.6,19
,'Arabic Hijazi Spoken ',' acw ','Saudi Arabia',2,6,20
,'Arabic Libyan Spoken ',' ayl ','Libya',3,4.3,21
,'Arabic Mesopotamian Spoken ',' acm ','Iraq',5,15.1,22
,'Arabic Moroccan Spoken ',' ary ','Morocco',10,21,23
,'Arabic Najdi Spoken ',' ars ','Saudi Arabia',7,10,24
,'Arabic North Levantine Spoken ',' apc ','Syria',16,14.4,25
,'Arabic North Mesopotamian Spoken ',' ayp ','Iraq',4,6.3,26
,'Arabic Sa''idi Spoken ',' aec ','Egypt',1,19,27
,'Arabic Sanaani Spoken ',' ayn ','Yemen',1,7.6,28
,'Arabic South Levantine Spoken ',' ajp ','Jordan',9,6.2,29
,'Arabic Sudanese Spoken ',' apd ','Sudan',6,16.8,30
,'Arabic Ta''izzi-Adeni Spoken ',' acq ','Yemen',8,7.1,31
,'Arabic Tunisian Spoken ',' aeb ','Tunisia',5,9.4,32
5,'Hindi ',' hin ','India',20,182,33
6,'Bengali ',' ben ','Bangladesh',10,181,34
7,'Portuguese ',' por ','Portugal',37,178,35
8,'Russian ',' rus ','Russian Federation',33,144,36
9,'Japanese ',' jpn ','Japan',25,122,37
10,'German Standard ',' deu ','Germany',43,90.3,38
11,'Javanese ',' jav ','Indonesia',5,84.6,39
12,'Lahnda ',' lah ','Pakistan',8,78.3,40
,'Panjabi Western ',' pnb ','Pakistan',7,62.6,41
,'Seraiki ',' skr ','Pakistan',3,13.8,42
13,'Telugu ',' tel ','India',10,69.8,43
14,'Vietnamese ',' vie ','Viet Nam',23,68.6,44
15,'Marathi ',' mar ','India',5,68.1,45
16,'French ',' fra ','France',60,67.8,46
17,'Korean ',' kor ','Korea South',33,66.3,47
18,'Tamil ',' tam ','India',17,65.7,48
19,'Italian ',' ita ','Italy',34,61.7,49
20,'Urdu ',' urd ','Pakistan',23,60.6,50
21,'Turkish ',' tur ','Turkey',36,50.8,51
22,'Gujarati ',' guj ','India',20,46.5,52
23,'Polish ',' pol ','Poland',23,40,53
24,'Malay ',' msa ','Malaysia',14,39.1,54
,'Malay ',' zlm ','Malaysia',7,10.3,55
25,'Bhojpuri ',' bho ','India',3,38.5,56
26,'Awadhi ',' awa ','India',2,38.3,57
27,'Ukrainian ',' ukr ','Ukraine',27,37,58
28,'Malayalam ',' mal ','India',11,35.9,59
29,'Kannada ',' kan ','India',3,35.3,60
30,'Maithili ',' mai ','India',2,34.7,61
31,'Sunda ',' sun ','Indonesia',1,34,62
32,'Burmese ',' mya ','Myanmar',5,32.3,63
33,'Oriya ',' ori ','India',2,31.7,64
34,'Persian ',' fas ','Iran',29,31.4,65
,'Farsi Eastern ',' prs ','Afghanistan',3,7.6,66
,'Farsi Western ',' pes ','Iran',27,23.9,67
35,'Marwari ',' mwr ','India',3,31.1,68
,'Dhundari ',' dhd ','India',1,9,69
,'Marwari ',' rwr ','India',3,5.6,70
,'Merwari ',' wry ','India',1,3.9,71
,'Shekhawati ',' swv ','India',1,3,72
36,'Panjabi Eastern ',' pan ','India',12,28.2,73
37,'Filipino ',' fil ','Philippines',1,25,74
38,'Hausa ',' hau ','Nigeria',13,25,75
39,'Tagalog ',' tgl ','Philippines',8,23.9,76
